dni,nia
10890313C,12507685
46867487L,14076370
21484947A,14924329
03498235G,15920428
39649208Z,17662352
22007781R,18002434
74558162M,18566589
01809637C,19071989
45473528K,19284981
94495852F,19286411
08198556E,20142973
69638601Y,22751397
54934334F,27524971
72372222P,27936804
14266797N,28283845
80594552E,29203720
21539505M,30268657
16994544M,30605477
60046829Q,31897885
15447756J,32331827
82645960Z,32967944
92147421Z,33618341
44046026Z,34018064
41051614H,36608601
80329882J,38320170
29866095C,39062734
91352271C,40485884
82676956Y,41353026
67220324H,42661875
74999306D,43685640
29376055H,44359797
51176417Z,45367357
33336663A,46067748
58626619X,48089993
84321270G,48633790
34385521S,48753021
78885786H,52247349
35889533B,52798440
61463873F,54029642
94759150R,54411276
76594503H,54550890
16797542K,54609382
53797197J,56480472
04815097R,56825002
74907317C,58998954
87654727W,59039110
49870066V,60868437
01727468F,65113807
39689963J,65326822
01780605Z,67028663
14713060Y,67334545
98008852X,67549723
12010031Y,67988417
77426839F,68453101
97752250L,69251085
91929968A,69826104
12207200L,72293901
77096917C,74129757
30112737X,75782460
94976167J,76104165
66060496B,77189277
79246188X,79908211
60041427L,81551216
67851392N,82844846
59563235C,85166921
40922189Z,85180018
35805649P,85394684
34946481M,85624618
59005153X,86162105
15197187Y,86488312
73516085N,87374723
02064836B,88116101
62743941X,88601876
59629449V,92121595
11954200L,93340135
22681459D,93549324
17160575E,95567868
23623459K,95838816
67043420F,98337501
54076092X,99729826
26265489H,99769575
